Title,Author,Genre,SubGenre,Height,Publisher
Fundamentals of Wavelets,"Goswami, Jaideva",tech,signal_processing,228,Wiley
Data Smart,"Foreman, John",tech,data_science,235,Wiley
God Created the Integers,"Hawking, Stephen",tech,mathematics,197,Penguin
Superfreakonomics,"Dubner, Stephen",science,economics,179,HarperCollins
Orientalism,"Said, Edward",nonfiction,history,197,Penguin
Nature of Statistical Learning Theory,"Vapnik, Vladimir",tech,data_science,230,Springer
Integration of the Indian States,"Menon, V P",nonfiction,history,217,Orient Blackswan
Drunkard's Walk,"Mlodinow, Leonard",science,mathematics,197,Penguin
Image Processing & Mathematical Morphology,"Shih, Frank",tech,signal_processing,241,CRC
How to Think Like Sherlock Holmes,"Konnikova, Maria",nonfiction,psychology,240,Penguin
Data Scientists at Work,Sebastian Gutierrez,tech,data_science,230,Apress
Slaughterhouse Five,"Vonnegut, Kurt",fiction,classic,198,Random House
Birth of a Theorem,"Villani, Cedric",science,mathematics,234,Bodley Head
Structure & Interpretation of Computer Programs,"Sussman, Gerald",tech,computer_science,240,MIT Press
Statistical Decision Theory',"Pratt, John",tech,data_science,236,MIT Press
Data Mining Handbook,"Nisbet, Robert",tech,data_science,242,Apress
The New Machiavelli,"Wells, H. G.",fiction,novel,180,Penguin
Physics & Philosophy,"Heisenberg, Werner",philosophy,science,197,Penguin
Making Software,"Oram, Andy",tech,computer_science,232,O'Reilly
Vol I Analysis,"Tao, Terence",tech,mathematics,248,HBA
Machine Learning for Hackers,"Conway, Drew",tech,data_science,233,O'Reilly
The Signal and the Noise,"Silver, Nate",tech,data_science,233,Penguin
Python for Data Analysis,"McKinney, Wes",tech,data_science,233,O'Reilly
Introduction to Algorithms,"Cormen, Thomas",tech,computer_science,234,MIT Press
Beautiful and the Damned,"Deb, Siddhartha",nonfiction,history,198,Penguin
The Outsider,"Camus, Albert",fiction,classic,198,Penguin
Complete Sherlock Holmes Vol I,"Doyle, Arthur Conan",fiction,classic,176,Random House
Complete Sherlock Holmes Vol II,"Doyle, Arthur Conan",fiction,classic,176,Random House
Wealth of Nations,"Smith, Adam",science,economics,175,Random House
Pillars of the Earth,"Follett, Ken",fiction,novel,176,Random House
Mein Kampf,"Hitler, Adolf",nonfiction,autobiography,212,Rupa
The Tao of Physics,"Capra, Fritjof",science,physics,179,Penguin
Surely You're Joking Mr Feynman,"Feynman, Richard",science,physics,198,Random House
Farewell to Arms,"Hemingway, Ernest",fiction,classic,179,Rupa
Veteran,"Forsyth, Frederick",fiction,novel,177,Transworld
False Impressions,"Archer, Jeffery",fiction,novel,177,Pan
Last Lecture,"Pausch, Randy",nonfiction,autobiography,197,Hyperion
Return of the Primitive,"Rand, Ayn",philosophy,objectivism,202,Penguin
Jurassic Park,"Crichton, Michael",fiction,novel,174,Random House
Russian Journal,"Steinbeck, John",nonfiction,history,196,Penguin
Tales of Mystery and Imagination,"Poe, Edgar Allen",fiction,classic,172,HarperCollins
Freakonomics,"Dubner, Stephen",science,economics,197,Penguin
Hidden Connections,"Capra, Fritjof",science,physics,197,HarperCollins
Story of Philosophy,"Durant, Will",philosophy,history,170,Pocket
Asami Asami,"Deshpande, P L",fiction,novel,205,Mauj
Journal of a Novel,"Steinbeck, John",fiction,classic,196,Penguin
Once There Was a War,"Steinbeck, John",nonfiction,history,196,Penguin
The Moon is Down,"Steinbeck, John",fiction,classic,196,Penguin
The Brethren,"Grisham, John",fiction,novel,174,Random House
In a Free State,"Naipaul, V. S.",fiction,novel,196,Rupa
Catch 22,"Heller, Joseph",fiction,classic,178,Random House
Complete Mastermind,BBC,nonfiction,trivia,178,BBC
Dylan on Dylan,"Dylan, Bob",nonfiction,autobiography,197,Random House
Soft Computing & Intelligent Systems,"Gupta, Madan",tech,data_science,242,Elsevier
Textbook of Economic Theory,"Stonier, Alfred",tech,economics,242,Pearson
Econometric Analysis,"Greene, W. H.",tech,economics,242,Pearson
Learning OpenCV,"Bradsky, Gary",tech,signal_processing,232,O'Reilly
Data Structures Using C & C++,"Tanenbaum, Andrew",tech,computer_science,235,Prentice Hall
A Modern Approach Computer Vision,"Forsyth, David",tech,signal_processing,255,Pearson
Principles of Communication Systems,"Taub, Schilling",tech,signal_processing,240,TMH
Principles of Communication Systems,"Kanetkar, Yashwant",tech,computer_science,213,Prentice Hall
Textbook of Economic Theory,"Stroud, Jonathan",fiction,novel,179,Random House
Crime and Punishment,"Dostoevsky, Fyodor",fiction,classic,180,Penguin
Angels & Demons,"Brown, Dan",fiction,novel,178,Random House
Argumentative Indian,"Sen, Amartya",nonfiction,history,209,Picador
Sea of Poppies,"Ghosh, Amitav",fiction,novel,197,Penguin
Idea of Justice,"Sen, Amartya",philosophy,economics,212,Penguin
Raisin in the Sun,"Hansberry, Lorraine",fiction,novel,175,Penguin
All the President's Men,"Woodward, Bob",nonfiction,history,177,Random House
Prisoner of Birth,"Archer, Jeffery",fiction,novel,176,Pan
Scoop!,"Nayar, Kuldip",nonfiction,history,216,HarperCollins
Ahe Manohar Tari,"Deshpande, Sunita",nonfiction,autobiography,213,Mauj
Last Mughal,"Dalrymple, William",nonfiction,history,199,Penguin
Social Choice & Welfare Vol 39 No. 1,Various,tech,economics,235,Springer
Radiowaril Bhashane & Shrutika,"Deshpande, P L",nonfiction,misc,213,Mauj
Gun Gayin Awadi,"Deshpande, P L",nonfiction,misc,212,Mauj
Aghal Paghal,"Deshpande, P L",nonfiction,misc,212,Mauj
Maqta-e-Ghalib,"Garg, Sanjay",nonfiction,poetry,221,Mauj
Beyond Degrees,,philosophy,education,222,HarperCollins
Manasa,"Kale, V P",nonfiction,misc,213,Mauj
India from Midnight to Milennium,"Tharoor, Shashi",nonfiction,history,198,Penguin
The World's Greatest Trials,,nonfiction,history,210,
The Great Indian Novel,"Tharoor, Shashi",fiction,novel,198,Penguin
O Jerusalem!,"Lapierre, Dominique",nonfiction,history,217,vikas
City of Joy,"Lapierre, Dominique",fiction,novel,177,vikas
Freedom at Midnight,"Lapierre, Dominique",nonfiction,history,167,vikas
The Winter of Our Discontent,"Steinbeck, John",fiction,classic,196,Penguin
On Education,"Russell, Bertrand",philosophy,education,203,Routledge
Free Will,"Harris, Sam",nonfiction,psychology,203,FreePress
Bookless in Baghdad,"Tharoor, Shashi",nonfiction,history,206,Penguin
The Case of the Lame Canary,"Gardner, Earle Stanley",fiction,novel,179,
The Theory of Everything,"Hawking, Stephen",science,physics,217,Jaico
New Markets & Other Essays,"Drucker, Peter",science,economics,176,Penguin
Electric Universe,"Bodanis, David",science,physics,201,Penguin
The Hunchback of Notre Dame,"Hugo, Victor",fiction,classic,175,Random House
Burning Bright,"Steinbeck, John",fiction,classic,175,Penguin
The Age of Discontuinity,"Drucker, Peter",nonfiction,economics,178,Random House
Doctor in the Nude,"Gordon, Richard",fiction,novel,179,Penguin
Down and Out in Paris & London,"Orwell, George",nonfiction,autobiography,179,Penguin
Identity & Violence,"Sen, Amartya",philosophy,philosophy,219,Penguin
Beyond the Three Seas,"Dalrymple, William",nonfiction,history,197,Random House
The World's Greatest Short Stories,,fiction,classic,217,Jaico
Talking Straight,"Iacoca, Lee",nonfiction,autobiography,175,
Maugham's Collected Short Stories Vol 3,"Maugham, William S",fiction,classic,171,Vintage
The Phantom of Manhattan,"Forsyth, Frederick",fiction,classic,180,
Ashenden of The British Agent,"Maugham, William S",fiction,classic,160,Vintage
Zen & The Art of Motorcycle Maintenance,"Pirsig, Robert",philosophy,autobiography,172,Vintage
The Great War for Civilization,"Fisk, Robert",nonfiction,history,197,HarperCollins
We the Living,"Rand, Ayn",fiction,novel,178,Penguin
The Artist and the Mathematician,"Aczel, Amir",science,mathematics,186,HighStakes
History of Western Philosophy,"Russell, Bertrand",philosophy,philosophy,213,Routledge
Selected Short Stories,,fiction,classic,215,Jaico
Rationality & Freedom,"Sen, Amartya",science,economics,213,Springer
Clash of Civilizations and Remaking of the World Order,"Huntington, Samuel",nonfiction,history,228,Simon&Schuster
Uncommon Wisdom,"Capra, Fritjof",nonfiction,anthology,197,Fontana
One,"Bach, Richard",nonfiction,autobiography,172,Dell
Karl Marx Biography,,nonfiction,autobiography,162,
To Sir With Love,Braithwaite,fiction,classic,197,Penguin
Half A Life,"Naipaul, V S",fiction,novel,196,
The Discovery of India,"Nehru, Jawaharlal",nonfiction,history,230,
Apulki,"Deshpande, P L",nonfiction,misc,211,
Unpopular Essays,"Russell, Bertrand",philosophy,philosophy,198,
The Deceiver,"Forsyth, Frederick",fiction,novel,178,
Veil: Secret Wars of the CIA,"Woodward, Bob",nonfiction,history,171,
Char Shabda,"Deshpande, P L",nonfiction,misc,214,
Rosy is My Relative,"Durrell, Gerald",fiction,novel,176,
The Moon and Sixpence,"Maugham, William S",fiction,classic,180,
Political Philosophers,,philosophy,politics,162,
A Short History of the World,"Wells, H G",nonfiction,history,197,
Trembling of a Leaf,"Maugham, William S",fiction,novel,205,
Doctor on the Brain,"Gordon, Richard",fiction,novel,204,
Simpsons & Their Mathematical Secrets,"Singh, Simon",science,mathematics,233,
Pattern Classification,"Duda, Hart",tech,data_science,241,
From Beirut to Jerusalem,"Friedman, Thomas",nonfiction,history,202,
The Code Book,"Singh, Simon",science,mathematics,197,
The Age of the Warrior,"Fisk, Robert",nonfiction,history,197,
Final Crisis,,fiction,comic,257,
The Killing Joke,,fiction,comic,283,
Flashpoint,,fiction,comic,265,
Batman Earth One,,fiction,comic,265,
Crisis on Infinite Earths,,fiction,comic,258,
The Numbers Behind Numb3rs,"Devlin, Keith",science,mathematics,202,
Superman Earth One - 1,,fiction,comic,259,
Superman Earth One - 2,,fiction,comic,258,
Justice League: Throne of Atlantis,,fiction,comic,258,
Justice League: The Villain's Journey,,fiction,comic,258,
The Death of Superman,,fiction,comic,258,
History of the DC Universe,,fiction,comic,258,
Batman: The Long Halloween,,fiction,comic,258,
A Life in Letters,"Steinbeck, John",nonfiction,autobiography,196,
The Information,"Gleick, James",science,mathematics,233,
Journal of Economics  vol 106 No 3,,science,economics,235,
Elements of Information Theory,"Thomas, Joy",tech,signal_processing,229,
Power Electronics - Rashid,"Rashid, Muhammad",tech,computer_science,235,
Power Electronics - Mohan,"Mohan, Ned",tech,computer_science,237,
Neural Networks,"Haykin, Simon",tech,data_science,240,
The Grapes of Wrath,"Steinbeck, John",fiction,classic,196,
Vyakti ani Valli,"Deshpande, P L",nonfiction,misc,211,
Statistical Learning Theory,"Vapnik, Vladimir",tech,data_science,228,
Empire of the Mughal - The Tainted Throne,"Rutherford, Alex",nonfiction,history,180,
Empire of the Mughal - Brothers at War,"Rutherford, Alex",nonfiction,history,180,
Empire of the Mughal - Ruler of the World,"Rutherford, Alex",nonfiction,history,180,
Empire of the Mughal - The Serpent's Tooth,"Rutherford, Alex",nonfiction,history,180,
Empire of the Mughal - Raiders from the North,"Rutherford, Alex",nonfiction,history,180,
Mossad,"Baz-Zohar, Michael",nonfiction,history,236,
Jim Corbett Omnibus,"Corbett, Jim",nonfiction,history,223,
20000 Leagues Under the Sea,"Verne, Jules",fiction,novel,190,
Batatyachi Chal,Deshpande P L,fiction,novel,200,
Hafasavnuk,Deshpande P L,fiction,novel,211,
Urlasurla,Deshpande P L,fiction,novel,211,
Pointers in C,"Kanetkar, Yashwant",tech,computer_science,213,
The Cathedral and the Bazaar,"Raymond, Eric",tech,computer_science,217,
Design with OpAmps,"Franco, Sergio",tech,computer_science,240,
Think Complexity,"Downey, Allen",tech,data_science,230,
The Devil's Advocate,"West, Morris",fiction,novel,178,
Ayn Rand Answers,"Rand, Ayn",philosophy,objectivism,203,
Philosophy: Who Needs It,"Rand, Ayn",philosophy,objectivism,171,
The World's Great Thinkers ,,science,physics,189,
Data Analysis with Open Source Tools,"Janert, Phillip",tech,data_science,230,
Broca's Brain,"Sagan, Carl",science,physics,174,
Men of Mathematics,"Bell, E T",science,mathematics,217,
Oxford book of Modern Science Writing,"Dawkins, Richard",science,science,240,
Justice Judiciary and Democracy,"Ranjan, Sudhanshu",nonfiction,legal,224,
The Arthashastra,Kautiyla,philosophy,philosophy,214,
We the People,Palkhivala,philosophy,philosophy,216,
We the Nation,Palkhivala,philosophy,philosophy,216,
The Courtroom Genius,Sorabjee,nonfiction,autobiography,217,
Dongri to Dubai,"Zaidi, Hussain",nonfiction,history,216,
Foundation History of England,"Ackroyd, Peter",nonfiction,history,197,
City of Djinns,"Dalrymple, William",nonfiction,history,198,
India's Legal System,Nariman,nonfiction,legal,177,
More Tears to Cry,"Sassoon, Jean",fiction,novel,235,
The Ropemaker,"Dickinson, Peter",fiction,novel,196,
Angels & Demons,"Brown, Dan",fiction,novel,170,
The Judge,,fiction,novel,170,
The Attorney,,fiction,novel,170,
The Prince,Machiavelli,fiction,classic,173,
Eyeless in Gaza,"Huxley, Aldous",fiction,novel,180,
Tales of Beedle the Bard,"Rowling, J K",fiction,novel,184,
Girl with the Dragon Tattoo,"Larsson, Steig",fiction,novel,179,
Girl who kicked the Hornet's Nest,"Larsson, Steig",fiction,novel,179,
Girl who played with Fire,"Larsson, Steig",fiction,novel,179,
Batman Handbook,,fiction,comic,270,
Murphy's Law,,philosophy,psychology,178,
Structure and Randomness,"Tao, Terence",science,mathematics,252,
Image Processing with MATLAB,"Eddins, Steve",tech,signal_processing,241,
Animal Farm,"Orwell, George",fiction,classic,180,
Idiot,"Dostoevsky, Fyodor",fiction,classic,197,
A Christmas Carol,"Dickens, Charles",fiction,classic,196,
